nama_puskesmas,nama_layanan,hari,jam,telepon,whatsapp
Bandung,UGD,Senin - Minggu,24 Jam,087840650909,087840650909
Bandung,Ruang Bersalin,Senin - Minggu,24 Jam,087840650909,087840650909
Bandung,Pelayanan Rawat Jalan,Senin - Sabtu,07:30 - 14:00,087840650909,087840650909
Bandung,Klaster 3 Dewasa dan Lansia,Senin - Sabtu,07:30 - 14:00,087840650909,087840650909
Bandung,Klaster 3 Pelayanan KB,Senin - Sabtu,07:30 - 14:00,087840650909,087840650909
Bandung,Klaster 2 Ibu Hamil dan Nifas,Senin - Sabtu,07:30 - 14:00,087840650909,087840650909
Bandung,Klaster 2 Bayi dan Remaja,Senin - Sabtu,07:30 - 14:00,087840650909,087840650909
Bandung,Pelayanan Gigi dan Mulut,Senin - Jumat,07:30 - 14:00,087840650909,087840650909
Bandung,Pelayanan TB Paru,Selasa,07:30 - 14:00,087840650909,087840650909
Bandung,Pelayanan Kesehatan Jiwa,Rabu,07:30 - 14:00,087840650909,087840650909
Anyar,UGD,Senin - Minggu,24 Jam,(0254) 601331,085172061331
Anyar,Persalinan,Senin - Minggu,24 Jam,(0254) 601331,085172061331
Anyar,Pelayanan Umum,Senin - Sabtu,07:30 - 12:00,(0254) 601331,085172061331
Anyar,Pelayanan Gigi & Mulut,Senin - Sabtu,07:30 - 12:00,(0254) 601331,085172061331
Anyar,Pelayanan Kesehatan Ibu & Anak,Senin - Sabtu,07:30 - 12:00,(0254) 601331,085172061331
Anyar,"Pelayanan Balita, Anak & Remaja",Senin - Sabtu,07:30 - 12:00,(0254) 601331,085172061331
Anyar,Pelayanan KB,Senin - Sabtu,07:30 - 12:00,(0254) 601331,085172061331
Anyar,Pelayan Paru,Senin,07:30 - 12:00,(0254) 601331,085172061331
Anyar,Pelayan IMS & Kusta,Jumat,07:30 - 11:00,(0254) 601331,085172061331
Ciomas,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Ciomas,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Ciomas,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Baros,Poli Rawat Jalan,Senin - Sabtu,07:30 - 12:00,0254 7821037,0857-7120-5822
Baros,Ruang Bersalin,Senin - Minggu,24 Jam,0254 7821037,0857-7120-5822
Baros,UGD (Unit Gawat Darurat),Senin - Minggu,24 Jam,0254 7821037,0857-7120-5822
Binuang,RAWAT JALAN,Senin - Sabtu,07:30 - 14:00,(0254)8409032,Tidak ditemukan
Binuang,UGD & PERSALINAN,Senin - Minggu,24 Jam,(0254)8409032,Tidak ditemukan
Bojonegara,Pelayanan Umum,Senin - Sabtu,07:30 - 12:00,(0254) 7850504,(0254) 7850504
Bojonegara,UGD,Senin - Minggu,24 Jam,(0254) 7850504,(0254) 7850504
